x,y,z,kmeans_cluster,dbscan_cluster,image_id
7.334436,-23.67392,8.713952,1,-1,0
15.064685,39.947502,-3.9443583,5,-1,1
19.489332,41.13901,-7.3957953,5,-1,2
31.71773,-28.362131,-14.112184,8,-1,3
-34.30049,-43.96601,35.658737,2,-1,4
-19.506973,-8.664425,50.313995,7,-1,5
37.920662,7.0227404,2.4487011,1,-1,6
29.760897,29.25994,21.884472,6,-1,7
-37.913246,-10.849211,31.952303,1,-1,8
41.743435,8.125276,-10.057602,3,-1,9
-20.691446,54.19715,6.7895722,8,-1,10
44.105232,8.636401,-43.695274,3,-1,11
-20.260141,-11.051939,-1.6728894,1,-1,12
21.93969,-28.687538,-36.463196,9,-1,13
37.076855,12.441611,-46.355244,3,-1,14
38.43083,18.303965,18.081766,6,-1,15
-30.982903,-3.6631384,-8.833656,8,-1,16
12.849807,-60.51176,8.124152,4,-1,17
7.967317,43.865124,-20.506844,5,-1,18
-24.905088,-30.349142,36.9535,2,-1,19
13.145438,-33.120625,-21.820366,9,-1,20
-25.564621,37.618855,12.79579,8,-1,21
-3.3346562,-46.23238,38.236908,6,-1,22
37.750137,32.68269,-46.82324,3,-1,23
-8.495535,-36.63805,-6.7625184,9,-1,24
18.275557,-36.874737,-24.20324,9,-1,25
-31.162539,-51.108078,0.13546063,7,-1,26
-15.468337,39.251423,26.396627,0,-1,27
30.815477,-2.0191119,-42.416397,3,-1,28
-36.770412,-49.831745,36.04924,2,-1,29
-25.587465,-0.68197834,48.575974,7,-1,30
24.978283,-20.46407,41.42886,1,-1,31
-13.523621,-46.549416,22.891794,7,-1,32
-31.962042,4.8722415,51.549076,7,-1,33
19.37753,7.817606,-46.43418,3,-1,34
15.370956,-23.618475,14.625759,0,-1,35
-4.029786,-57.224213,-1.31802,4,-1,36
44.140385,18.361502,-29.863214,3,-1,37
38.367878,35.656925,-64.37628,3,-1,38
-39.86264,-12.048644,-25.07626,1,-1,39
19.384542,-17.967129,-27.94296,9,-1,40
-23.874798,-30.272108,31.62784,2,-1,41
27.097656,-10.217875,12.471173,0,-1,42
-40.46717,-25.404903,42.41512,7,-1,43
-0.805485,30.522985,-50.154602,8,-1,44
26.919573,19.117142,-38.52894,3,-1,45
-42.750195,-15.750902,27.091331,1,-1,46
33.849487,-1.9271542,-19.34556,3,-1,47
1.3944993,-61.49765,-11.0954075,4,-1,48
-2.7694502,-27.30261,57.91261,2,-1,49
14.91338,-9.884651,-33.961723,5,-1,50
-3.0175834,40.239643,-27.961897,5,-1,51
12.054707,12.525138,8.7956915,2,-1,52
5.216212,-27.848743,34.1131,7,-1,53
-20.028486,21.68284,-14.522375,8,-1,54
-17.634754,13.498415,-35.374496,8,-1,55
-10.115351,-23.316828,-22.74666,9,-1,56
1.2835743,-3.8350883,20.564348,0,-1,57
-9.408697,-0.4116669,46.169678,4,-1,58
41.133015,-5.326736,14.523673,1,-1,59
-11.49351,-62.56379,-7.4893575,4,-1,60
-26.435085,-17.55562,10.099213,7,-1,61
-28.623306,-60.906174,18.056087,0,-1,62
-14.82129,13.210245,-44.8866,8,-1,63
-9.473136,-15.330276,47.920914,7,-1,64
-7.617327,4.090784,22.954536,6,-1,65
38.546143,39.790836,-11.587919,3,-1,66
-15.290778,21.816679,15.375857,8,-1,67
-9.258607,-41.129967,7.2779136,7,-1,68
-17.464817,-18.603899,-29.643408,9,-1,69
-9.153596,2.6618192,13.042124,6,-1,70
-15.986712,-4.2896314,48.818157,7,-1,71
-19.084332,44.88558,-25.987587,8,-1,72
-14.59223,30.214468,-22.352037,5,-1,73
16.290567,-4.438912,-30.112297,5,-1,74
-18.456207,15.948067,9.015208,8,-1,75
7.7948103,-4.2730894,-30.142574,5,-1,76
2.3782377,-16.86117,6.988532,1,-1,77
35.539497,-6.5344257,11.408212,1,-1,78
-31.198044,17.550722,-19.305737,5,-1,79
11.20518,36.729404,-16.715998,5,-1,80
13.091059,33.332695,-46.450005,8,-1,81
44.256557,44.0535,-22.6463,3,-1,82
13.525705,-27.559124,-10.599459,9,-1,83
27.281122,-24.919024,-16.772945,9,-1,84
22.366673,-38.8568,23.220375,9,-1,85
44.158623,-29.274115,3.8840368,1,-1,86
5.7507463,-6.91927,-19.390461,5,-1,87
15.5705385,44.39362,-26.523071,5,-1,88
36.325897,37.389847,-53.412907,3,-1,89
-10.985674,30.38503,-14.248063,5,-1,90
-19.208464,-5.8300157,26.505312,1,-1,91
